exp,source,target,t_dijkstra,t_floyd
430,5,6,7.394199974442017e-05,0.028300494000177423
431,32,4,0.00012397000000419212,0.02880695600015315
432,34,35,0.0001230589996339404,0.02779237300001114
433,38,38,3.0655000045953784e-05,0.02739007699983631
434,20,6,0.00012211900002512266,0.028705108999929507
435,24,26,0.0002189150000049267,0.027809964999960357
436,29,22,6.875100007164292e-05,0.02652214899990213
437,7,38,5.009799997424125e-05,0.026835288000256696
438,4,19,8.62340002640849e-05,0.026153279000027396
439,12,43,3.622600024755229e-05,0.026645298000403272
440,20,14,6.3510000018141e-05,0.02682904800030883
441,42,15,6.757999972251127e-05,0.026887346999956208
442,39,30,4.877799983660225e-05,0.02689196700021057
443,14,6,8.616299965069629e-05,0.026944326999910118
444,48,25,4.105600010007038e-05,0.0267958629997338
445,42,0,7.911200009402819e-05,0.027631173999907332
446,41,23,6.962099996599136e-05,0.027556801999708114
447,47,14,0.00010091600006489898,0.027198535000025004
448,7,5,0.00015635499994459678,0.027415549000124884
449,10,23,0.00010424599986436078,0.027520906000063405
450,36,41,9.999599978982587e-05,0.02731084200013356
451,34,5,0.00010016599981099716,0.02698104000000967
452,35,7,8.241299974542926e-05,0.027302142000280583
453,14,39,0.0001080970000657544,0.027410548999796447
454,22,16,6.602999974347767e-05,0.0263926860002357
455,47,26,0.00010060599970529438,0.026129924000088067
456,3,24,0.00010928700021395343,0.02678249800010235
457,13,17,6.67610001983121e-05,0.02624814199998582
458,38,22,8.294400004160707e-05,0.026323784999931377
459,13,32,5.922899981669616e-05,0.026556172000255174
460,10,0,2.9194000035204226e-05,0.026587716999983968
461,7,16,2.8083999950467842e-05,0.026295930999822303
462,11,32,8.158299988281215e-05,0.0258731330000046
463,14,38,9.542499992676312e-05,0.02698175099976652
464,47,33,5.6599000345158856e-05,0.0264886810000462
465,39,9,4.463699997359072e-05,0.026673321000089345
466,37,29,5.220900038693799e-05,0.02698177999991458
467,25,47,8.603400010542828e-05,0.02644328399992446
468,35,12,6.7161000060878e-05,0.026706845999797224
469,25,18,6.134999966889154e-05,0.026458046999778162
470,4,47,0.0001167880000139121,0.02732753500004037
471,2,25,0.00010562699981164769,0.02659747799998513
472,25,11,2.2873000034451252e-05,0.026780828000028123
473,10,22,5.122800030221697e-05,0.026758023999718716
474,7,41,9.900600025503081e-05,0.026324775000375666
475,11,15,7.189100006144145e-05,0.026679392000005464
476,33,46,0.00011117800022475421,0.02667329099995186
477,17,18,4.374699983600294e-05,0.026278357999672153
478,14,34,0.0001073270000233606,0.026504704000217316
479,14,11,3.495600003589061e-05,0.026928580999992846
480,5,23,3.401599997232552e-05,0.026594109000143362
481,15,26,3.2315000225935364e-05,0.026549969000370766
482,3,41,0.00011557800007722108,0.02632541399998445
483,18,19,5.336799995347974e-05,0.02639732500028913
484,31,1,6.744999973307131e-05,0.026496650999888516
485,12,9,0.00010059600026579574,0.02650541200000589
486,43,19,7.233099995573866e-05,0.026273636000041733
487,48,4,9.800599991649506e-05,0.026623441000083403
488,49,34,9.010399980979855e-05,0.026350577999892266
489,30,2,6.818099973315839e-05,0.02631239100037419
490,18,10,0.00010620700004437822,0.026814930999989883
491,29,7,5.060800003775512e-05,0.02617826999994577
492,30,24,6.866100011393428e-05,0.026967616000092676
493,33,47,7.618199970238493e-05,0.026463975999831746
494,32,32,1.746299994920264e-05,0.02653287699968132
495,47,18,4.1667000004963484e-05,0.027110578999781865
496,21,23,6.322999979602173e-05,0.026363380000020697
497,31,29,0.00010787700011860579,0.026821063000170398
498,27,6,7.954200009407941e-05,0.026970006999817997
499,19,2,9.365500000058091e-05,0.026829812999949354
500,7,29,0.00011251799969613785,0.026351657999839517
501,47,20,0.00010555699964243104,0.026774974999625556
502,1,3,2.5554999865562422e-05,0.026328213999931904
503,17,47,0.00010330600025554304,0.026308900999993057
504,0,35,8.154299985108082e-05,0.027091506000033405
505,20,35,8.113300009426894e-05,0.026273214999946504
506,1,24,5.987900021864334e-05,0.026651806000245415
507,11,6,5.1247999635961605e-05,0.026554529999884835
508,11,28,5.766000003859517e-05,0.026398415000130626
509,15,9,9.153500013781013e-05,0.026252432000092085
510,22,0,4.4036999952368205e-05,0.026316962000237254
511,11,28,8.483300007355865e-05,0.026619420999850263
512,39,12,3.703599986693007e-05,0.026872751000155404
513,45,9,7.779200041113654e-05,0.026167399000314617
514,2,6,6.483000015578e-05,0.02625377300000764
515,6,41,0.00011870900016219821,0.026711184999840043
516,20,10,5.558900011237711e-05,0.026364909000221814
517,10,45,7.29010002942232e-05,0.02666025600001376
518,27,46,5.1837999762938125e-05,0.026145054000153323
519,26,17,9.32839998313284e-05,0.02673411700016004
520,25,2,6.083900007070042e-05,0.026701873000092746
521,14,14,1.8833000012818957e-05,0.026516532999721676
522,11,7,9.40549998631468e-05,0.026473725999949238
523,3,7,0.00010695699984353269,0.02694577100010065
524,17,49,8.854399993651896e-05,0.026761412000269047
525,29,12,2.95439999717928e-05,0.02667059799978233
526,20,11,0.00010587699989628163,0.026701721999870642
527,48,35,8.663299968247884e-05,0.026789065999764716
528,9,7,8.99440001376206e-05,0.026426328000070498
529,33,49,0.00011044699976991978,0.026345795999986876
530,32,45,6.209000002854737e-05,0.02707513099994685
531,10,7,0.00010301599968443043,0.026524173999860068
532,24,17,8.87840001269069e-05,0.026734306999969704
533,10,17,7.187199980762671e-05,0.02612965099979192
534,43,16,7.881200008341693e-05,0.025969227000132378
535,33,11,4.0207000438385876e-05,0.026711423000051582
